target, id, NCounties, name, npop, nc, voteDiff, reportedMargin, dilutedMargin, estMvrs, haveMvrs, mvrsExtra, estRisk, 
false, 125, [Weld], City of Fort Lupton Ballot Issue 2D, 182397, 4354, 654, 15.02%, 00.36%, 2031, 87, -1944, 86.0%, 
false, 126, [Weld], City of Fort Lupton Ballot Question 2C, 182397, 4354, 2069, 47.52%, 01.13%, 641, 87, -554, 62.1%, 
false, 127, [Weld], City of Fort Lupton Ballot Question 2E, 182397, 4354, 405, 09.30%, 00.22%, 3280, 87, -3193, 91.1%, 
true, 128, [Morgan], City of Fort Morgan Ballot Question 2A, 13669, 4127, 2692, 65.23%, 19.69%, 36, 38, 2, 02.2%, 
false, 129, [Weld], City of Greeley Ballot Issue 2L, 182397, 45853, 11074, 24.15%, 06.07%, 119, 87, -32, 07.6%, 
false, 130, [Weld], City of Greeley Ballot Issue 2M, 182397, 45853, 14181, 30.93%, 07.77%, 92, 87, -5, 03.6%, 
false, 131, [Weld], City of Greeley Ballot Question 2N, 182397, 45853, 8869, 19.34%, 04.86%, 148, 87, -61, 12.7%, 
false, 132, [Weld], City of Greeley Ballot Question 2O, 182397, 45853, 6312, 13.77%, 03.46%, 209, 87, -122, 23.2%, 
true, 133, [Phillips], City of Holyoke Mayor, 2384, 997, 261, 26.18%, 10.95%, 65, 68, 3, 02.5%, 
false, 134, [Clear Creek], City of Idaho Springs Ballot Question 2A, 6180, 930, 247, 26.56%, 04.00%, 181, 72, -109, 24.7%, 
false, 135, [Boulder], City of Lafayette Ballot Question 2A, 396121, 18689, 3743, 20.03%, 00.94%, 770, 120, -650, 57.9%, 
false, 136, [Jefferson], City of Lakewood Ballot Issue 2A, 367779, 89378, 19678, 22.02%, 05.35%, 135, 66, -69, 17.8%, 
false, 137, [Lake], City of Leadville Ballot Issue 2B, 3973, 1581, 83, 05.25%, 02.09%, 347, 116, -231, 31.0%, 
false, 138, [Lake], City of Leadville Ballot Question 2A, 3973, 1581, 237, 14.99%, 05.97%, 121, 116, -5, 03.4%, 
false, 139, 03, City of Littleton Ballot Issue 3B, 967492, 28308, 381, 01.35%, 00.04%, 18503, 143, -18360, 97.3%, 
