county,imprinted_id,cvr_id,contests,rounds,other_pairs
Adams,106-669-1,714461,Adams County Commissioner - District 1;Adams County Commissioner - District 2;Adams County Commissioner - District 5;Adams County Court Judge - Dinnel;Adams County Court Judge - Flaum;Adams County Court Judge - Ivey;Adams County Court Judge - Jean;Adams County Court Judge - Kirby;Adams County Court Judge - Nowak;Amendment 79 (CONSTITUTIONAL);Amendment 80 (CONSTITUTIONAL);Amendment G (CONSTITUTIONAL);Amendment H (CONSTITUTIONAL);Amendment I (CONSTITUTIONAL);Amendment J (CONSTITUTIONAL);Amendment K (CONSTITUTIONAL);Colorado Court of Appeals Judge - Dunn;Colorado Court of Appeals Judge - Jones;Colorado Court of Appeals Judge - Kuhn;Colorado Court of Appeals Judge - Roman;Colorado Court of Appeals Judge - Schutz;Colorado Supreme Court Justice - Berkenkotter;Colorado Supreme Court Justice - Boatright;Colorado Supreme Court Justice - Marquez;District Attorney - 17th Judicial District;District Court Judge - 17th Judicial District - Holbrook;District Court Judge - 17th Judicial District - Martin;District Court Judge - 17th Judicial District - Vasquez;Presidential Electors;Proposition 127 (STATUTORY);Proposition 128 (STATUTORY);Proposition 129 (STATUTORY);Proposition 130 (STATUTORY);Proposition 131 (STATUTORY);Proposition JJ (STATUTORY);Proposition KK (STATUTORY);Regent of the University of Colorado - At Large;Representative to the 119th United States Congress - District 8;State Board of Education Member - Congressional District 8;State Representative - District 35;State Senator - District 21,1;2;3,
Adams,107-27-77,45539,17th Judicial District Ballot Question 7B;Adams County Ballot Issue 1A;Adams-Arapahoe School District 28J Ballot Issue 5A;Adams-Arapahoe School District 28J Ballot Issue 5B;City of Aurora Question 3A;Regional Transportation District Ballot Issue 7A,1;2;3,
Adams,108-71-8,67860,Adams County Commissioner - District 1;Adams County Commissioner - District 2;Adams County Commissioner - District 5;Adams County Court Judge - Dinnel;Adams County Court Judge - Flaum;Adams County Court Judge - Ivey;Adams County Court Judge - Jean;Adams County Court Judge - Kirby;Adams County Court Judge - Nowak;Amendment 79 (CONSTITUTIONAL);Amendment 80 (CONSTITUTIONAL);Amendment G (CONSTITUTIONAL);Amendment H (CONSTITUTIONAL);Amendment I (CONSTITUTIONAL);Amendment J (CONSTITUTIONAL);Amendment K (CONSTITUTIONAL);Colorado Court of Appeals Judge - Dunn;Colorado Court of Appeals Judge - Jones;Colorado Court of Appeals Judge - Kuhn;Colorado Court of Appeals Judge - Roman;Colorado Court of Appeals Judge - Schutz;Colorado Supreme Court Justice - Berkenkotter;Colorado Supreme Court Justice - Boatright;Colorado Supreme Court Justice - Marquez;District Attorney - 17th Judicial District;District Court Judge - 17th Judicial District - Holbrook;District Court Judge - 17th Judicial District - Martin;District Court Judge - 17th Judicial District - Vasquez;Presidential Electors;Proposition 127 (STATUTORY);Proposition 128 (STATUTORY);Proposition 129 (STATUTORY);Proposition 130 (STATUTORY);Proposition 131 (STATUTORY);Proposition JJ (STATUTORY);Proposition KK (STATUTORY);Regent of the University of Colorado - At Large;Representative to the 119th United States Congress - District 8;State Board of Education Member - Congressional District 8;State Representative - District 31,1;2;3,
Adams,109-133-21,135663,Adams County Commissioner - District 1;Adams County Commissioner - District 2;Adams County Commissioner - District 5;Adams County Court Judge - Dinnel;Adams County Court Judge - Flaum;Adams County Court Judge - Ivey;Adams County Court Judge - Jean;Adams County Court Judge - Kirby;Adams County Court Judge - Nowak;Amendment 79 (CONSTITUTIONAL);Amendment 80 (CONSTITUTIONAL);Amendment G (CONSTITUTIONAL);Amendment H (CONSTITUTIONAL);Amendment I (CONSTITUTIONAL);Amendment J (CONSTITUTIONAL);Amendment K (CONSTITUTIONAL);Colorado Court of Appeals Judge - Dunn;Colorado Court of Appeals Judge - Jones;Colorado Court of Appeals Judge - Kuhn;Colorado Court of Appeals Judge - Roman;Colorado Court of Appeals Judge - Schutz;Colorado Supreme Court Justice - Berkenkotter;Colorado Supreme Court Justice - Boatright;Colorado Supreme Court Justice - Marquez;District Attorney - 17th Judicial District;District Court Judge - 17th Judicial District - Holbrook;District Court Judge - 17th Judicial District - Martin;District Court Judge - 17th Judicial District - Vasquez;Presidential Electors;Proposition 127 (STATUTORY);Proposition 128 (STATUTORY);Proposition 129 (STATUTORY);Proposition 130 (STATUTORY);Proposition 131 (STATUTORY);Proposition JJ (STATUTORY);Proposition KK (STATUTORY);Regent of the University of Colorado - At Large;Representative to the 119th United States Congress - District 8;State Board of Education Member - Congressional District 8;State Representative - District 48;State Senator - District 13,1;2;3,
Adams,109-143-10,144040,17th Judicial District Ballot Question 7B;Adams County Ballot Issue 1A;Regional Transportation District Ballot Issue 7A,1;2;3,
Adams,109-145-12,145688,Adams County Commissioner - District 1;Adams County Commissioner - District 2;Adams County Commissioner - District 5;Adams County Court Judge - Dinnel;Adams County Court Judge - Flaum;Adams County Court Judge - Ivey;Adams County Court Judge - Jean;Adams County Court Judge - Kirby;Adams County Court Judge - Nowak;Amendment 79 (CONSTITUTIONAL);Amendment 80 (CONSTITUTIONAL);Amendment G (CONSTITUTIONAL);Amendment H (CONSTITUTIONAL);Amendment I (CONSTITUTIONAL);Amendment J (CONSTITUTIONAL);Amendment K (CONSTITUTIONAL);Colorado Court of Appeals Judge - Dunn;Colorado Court of Appeals Judge - Jones;Colorado Court of Appeals Judge - Kuhn;Colorado Court of Appeals Judge - Roman;Colorado Court of Appeals Judge - Schutz;Colorado Supreme Court Justice - Berkenkotter;Colorado Supreme Court Justice - Boatright;Colorado Supreme Court Justice - Marquez;District Attorney - 17th Judicial District;District Court Judge - 17th Judicial District - Holbrook;District Court Judge - 17th Judicial District - Martin;District Court Judge - 17th Judicial District - Vasquez;Presidential Electors;Proposition 127 (STATUTORY);Proposition 128 (STATUTORY);Proposition 129 (STATUTORY);Proposition 130 (STATUTORY);Proposition 131 (STATUTORY);Proposition JJ (STATUTORY);Proposition KK (STATUTORY);Regent of the University of Colorado - At Large;Representative to the 119th United States Congress - District 8;State Board of Education Member - Congressional District 8;State Representative - District 29,1;2;3,
Adams,109-288-74,391982,Adams County Commissioner - District 1;Adams County Commissioner - District 2;Adams County Commissioner - District 5;Adams County Court Judge - Dinnel;Adams County Court Judge - Flaum;Adams County Court Judge - Ivey;Adams County Court Judge - Jean;Adams County Court Judge - Kirby;Adams County Court Judge - Nowak;Amendment 79 (CONSTITUTIONAL);Amendment 80 (CONSTITUTIONAL);Amendment G (CONSTITUTIONAL);Amendment H (CONSTITUTIONAL);Amendment I (CONSTITUTIONAL);Amendment J (CONSTITUTIONAL);Amendment K (CONSTITUTIONAL);Colorado Court of Appeals Judge - Dunn;Colorado Court of Appeals Judge - Jones;Colorado Court of Appeals Judge - Kuhn;Colorado Court of Appeals Judge - Roman;Colorado Court of Appeals Judge - Schutz;Colorado Supreme Court Justice - Berkenkotter;Colorado Supreme Court Justice - Boatright;Colorado Supreme Court Justice - Marquez;District Attorney - 17th Judicial District;District Court Judge - 17th Judicial District - Holbrook;District Court Judge - 17th Judicial District - Martin;District Court Judge - 17th Judicial District - Vasquez;Presidential Electors;Proposition 127 (STATUTORY);Proposition 128 (STATUTORY);Proposition 129 (STATUTORY);Proposition 130 (STATUTORY);Proposition 131 (STATUTORY);Proposition JJ (STATUTORY);Proposition KK (STATUTORY);Regent of the University of Colorado - At Large;Representative to the 119th United States Congress - District 8;State Board of Education Member - Congressional District 8;State Representative - District 29,1;2;3,
Adams,109-438-34,619811,Adams County Commissioner - District 1;Adams County Commissioner - District 2;Adams County Commissioner - District 5;Adams County Court Judge - Dinnel;Adams County Court Judge - Flaum;Adams County Court Judge - Ivey;Adams County Court Judge - Jean;Adams County Court Judge - Kirby;Adams County Court Judge - Nowak;Amendment 79 (CONSTITUTIONAL);Amendment 80 (CONSTITUTIONAL);Amendment G (CONSTITUTIONAL);Amendment H (CONSTITUTIONAL);Amendment I (CONSTITUTIONAL);Amendment J (CONSTITUTIONAL);Amendment K (CONSTITUTIONAL);Colorado Court of Appeals Judge - Dunn;Colorado Court of Appeals Judge - Jones;Colorado Court of Appeals Judge - Kuhn;Colorado Court of Appeals Judge - Roman;Colorado Court of Appeals Judge - Schutz;Colorado Supreme Court Justice - Berkenkotter;Colorado Supreme Court Justice - Boatright;Colorado Supreme Court Justice - Marquez;District Attorney - 17th Judicial District;District Court Judge - 17th Judicial District - Holbrook;District Court Judge - 17th Judicial District - Martin;District Court Judge - 17th Judicial District - Vasquez;Presidential Electors;Proposition 127 (STATUTORY);Proposition 128 (STATUTORY);Proposition 129 (STATUTORY);Proposition 130 (STATUTORY);Proposition 131 (STATUTORY);Proposition JJ (STATUTORY);Proposition KK (STATUTORY);Regent of the University of Colorado - At Large;Representative to the 119th United States Congress - District 8;State Board of Education Member - Congressional District 8;State Representative - District 35;State Senator - District 21,1;2;3,
Adams,109-532-66,680192,Adams County Commissioner - District 1;Adams County Commissioner - District 2;Adams County Commissioner - District 5;Adams County Court Judge - Dinnel;Adams County Court Judge - Flaum;Adams County Court Judge - Ivey;Adams County Court Judge - Jean;Adams County Court Judge - Kirby;Adams County Court Judge - Nowak;Amendment 79 (CONSTITUTIONAL);Amendment 80 (CONSTITUTIONAL);Amendment G (CONSTITUTIONAL);Amendment H (CONSTITUTIONAL);Amendment I (CONSTITUTIONAL);Amendment J (CONSTITUTIONAL);Amendment K (CONSTITUTIONAL);Colorado Court of Appeals Judge - Dunn;Colorado Court of Appeals Judge - Jones;Colorado Court of Appeals Judge - Kuhn;Colorado Court of Appeals Judge - Roman;Colorado Court of Appeals Judge - Schutz;Colorado Supreme Court Justice - Berkenkotter;Colorado Supreme Court Justice - Boatright;Colorado Supreme Court Justice - Marquez;District Attorney - 17th Judicial District;District Court Judge - 17th Judicial District - Holbrook;District Court Judge - 17th Judicial District - Martin;District Court Judge - 17th Judicial District - Vasquez;Presidential Electors;Proposition 127 (STATUTORY);Proposition 128 (STATUTORY);Proposition 129 (STATUTORY);Proposition 130 (STATUTORY);Proposition 131 (STATUTORY);Proposition JJ (STATUTORY);Proposition KK (STATUTORY);Regent of the University of Colorado - At Large;Representative to the 119th United States Congress - District 8;State Board of Education Member - Congressional District 8;State Representative - District 35;State Senator - District 21,1;2;3,
Adams,109-587-19,743429,Adams County Commissioner - District 1;Adams County Commissioner - District 2;Adams County Commissioner - District 5;Adams County Court Judge - Dinnel;Adams County Court Judge - Flaum;Adams County Court Judge - Ivey;Adams County Court Judge - Jean;Adams County Court Judge - Kirby;Adams County Court Judge - Nowak;Amendment 79 (CONSTITUTIONAL);Amendment 80 (CONSTITUTIONAL);Amendment G (CONSTITUTIONAL);Amendment H (CONSTITUTIONAL);Amendment I (CONSTITUTIONAL);Amendment J (CONSTITUTIONAL);Amendment K (CONSTITUTIONAL);Colorado Court of Appeals Judge - Dunn;Colorado Court of Appeals Judge - Jones;Colorado Court of Appeals Judge - Kuhn;Colorado Court of Appeals Judge - Roman;Colorado Court of Appeals Judge - Schutz;Colorado Supreme Court Justice - Berkenkotter;Colorado Supreme Court Justice - Boatright;Colorado Supreme Court Justice - Marquez;District Attorney - 17th Judicial District;District Court Judge - 17th Judicial District - Holbrook;District Court Judge - 17th Judicial District - Martin;District Court Judge - 17th Judicial District - Vasquez;Presidential Electors;Proposition 127 (STATUTORY);Proposition 128 (STATUTORY);Proposition 129 (STATUTORY);Proposition 130 (STATUTORY);Proposition 131 (STATUTORY);Proposition JJ (STATUTORY);Proposition KK (STATUTORY);Regent of the University of Colorado - At Large;Representative to the 119th United States Congress - District 8;State Board of Education Member - Congressional District 8;State Representative - District 31,1;2;3,
